name,id,pinyin
天房发展,600322,tiān fánɡ fā zhǎn
南海发展,600323,nā hǎi fā zhǎn
华发股份,600325,huá fā ɡǔ bīn
西藏天路,600326,xī cánɡ tiān lù
大厦股份,600327,dà shà ɡǔ bīn
兰太实业,600328,lán tā shí yè
中新药业,600329,zhōnɡ xīn yào yè
天通股份,600330,tiān tōng ɡǔ bīn
宏达股份,600331,hónɡ dá ɡǔ bīn
广州药业,600332,ān zhōu yào yè
长春燃气,600333,chánɡ chūn rán qǐ
*ST盛工,600335,* S T chénɡ ɡōnɡ
澳柯玛,600336,ào kē mǎ
美克股份,600337,měi kè ɡǔ bīn
ST珠峰,600338,S T zhū fēnɡ
天利高新,600339,tiān lì ɡāo xīn
ST国祥,600340,S T ɡuó xiáng
航天动力,600343,hánɡ tiān dònɡ lì/li
长江通信,600345,chánɡ jiānɡ tōng shēn
大橡塑,600346,dà xiànɡ sù
国阳新能,600348,ɡuó yánɡ xīn nái
山东高速,600350,shān dōnɡ ɡāo sù
亚宝药业,600351,yà bǎo yào yè
浙江龙盛,600352,zhè jiānɡ lónɡ chénɡ
旭光股份,600353,xù ɡuānɡ ɡǔ bīn
敦煌种业,600354,dào huánɡ chónɡ yè
*ST精伦,600355,* S T jīng lún
恒丰纸业,600356,hénɡ fēnɡ zhǐ yè
国旅联合,600358,ɡuó lǚ lián ɡě
新农开发,600359,xīn nónɡ kāi fā
华微电子,600360,huá wēi diàn zǐ
华联综超,600361,huá lián zènɡ chāo
江西铜业,600362,jiānɡ xī tóng yè
联创光电,600363,lián chuānɡ ɡuānɡ diàn
*ST通葡,600365,* S T tōng bèi
宁波韵升,600366,nínɡ bēi yùn shēnɡ
红星发展,600367,ɡōnɡ xīng fā zhǎn
五洲交通,600368,wǔ zhōu jiāo tōng
西南证券,600369,xī nā zhènɡ quàn
三房巷,600370,sān fánɡ hànɡ
万向德农,600371,mò xiànɡ dé nónɡ
ST昌河,600372,S T chānɡ hé
*ST鑫新,600373,* S T xīn xīn
星马汽车,600375,xīng mǎ ɡài chē
首开股份,600376,shǒu kāi ɡǔ bīn
