"","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
"287",171.800003,173.949997,171.710007,172.5,30991900,169.912704
"288",173.669998,175.649994,173.539993,175.5,33812400,172.867706
"289",176.350006,179.389999,176.210007,178.970001,38162200,176.285675
"290",179.100006,180.479996,178.160004,178.389999,38928100,175.714386
"291",179.259995,180.619995,178.050003,178.119995,37782100,175.44841
"292",178.539993,179.779999,172.660004,175,48802000,172.375214
"293",172.800003,176.300003,172.449997,176.210007,38454000,173.567078
"294",175.210007,177.740005,174.520004,176.820007,28401400,174.167923
"295",177.910004,178.25,176.130005,176.669998,23788500,174.020172
"296",174.940002,175.850006,174.270004,175.029999,31703500,172.40477
"297",175.479996,177.119995,175.070007,176.940002,23774100,174.286118
"298",177.960007,180,177.389999,179.979996,32185200,177.280518
"299",180.289993,182.389999,180.210007,181.720001,32207100,178.994415
"300",182.589996,183.5,179.240005,179.970001,31693500,177.27066
"301",180.320007,180.520004,177.809998,178.440002,29368400,175.763611
"302",178.5,180.240005,178.070007,178.649994,22743800,175.970459
"303",178.649994,179.119995,177.619995,178.020004,39404700,175.349915
"304",177.320007,177.470001,173.660004,175.300003,33446800,172.670731
"305",175.240005,176.800003,174.940002,175.240005,19649400,172.611618
"306",175.039993,175.089996,171.259995,171.270004,36338100,168.701157
"307",170,172.679993,168.600006,168.850006,41490800,166.317459
"308",168.389999,169.919998,164.940002,164.940002,41028800,162.466095
"309",168.070007,173.100006,166.440002,172.770004,37541200,170.17868
"310",173.679993,175.149994,166.919998,168.339996,40922600,165.815109
"311",167.25,170.020004,165.190002,166.479996,41668500,163.983002
"312",167.809998,171.75,166.899994,167.779999,38398500,165.263504
"313",166.639999,168.940002,164.470001,166.679993,37586800,164.180008
"314",167.639999,168.75,164.880005,168.389999,30278000,165.864349
"315",164.880005,172.009995,164.770004,171.610001,34605500,169.036072
"316",172.580002,174.229996,172.080002,172.800003,26933200,170.208206
"317",170.970001,172.479996,168.199997,168.380005,35005300,165.854523
"318",169.880005,173.089996,169.850006,170.050003,29017700,167.499466
"319",173,174,171.529999,173.25,28408600,170.651459
"320",172.229996,173.919998,171.699997,172.440002,22431600,169.853622
"321",173.410004,175,173.039993,174.139999,22889300,171.528107
"322",174.779999,175.839996,173.850006,174.729996,25124300,172.109268
"323",175.029999,176.190002,174.830002,175.820007,21578400,173.182922
"324",176.490005,178.940002,176.410004,178.240005,26509000,175.56662
"325",177.809998,178.820007,176.880005,177.839996,20754500,175.172607
"326",173.759995,175.389999,172.660004,172.800003,34808800,170.208206
"327",170.600006,171.220001,165.429993,165.720001,65491100,163.23439
"328",166.830002,166.919998,164.089996,165.240005,36515500,162.761597
"329",165.669998,166.330002,161.220001,162.940002,33692000,160.496109
"330",162.619995,165.419998,162.410004,163.649994,28382100,161.19545
"331",164.119995,165.729996,163.369995,164.220001,27963000,161.756912
"332",164,164.330002,160.630005,162.320007,35655800,159.885406
"333",162.130005,167.259995,161.839996,165.259995,42427400,162.781296
"334",166.410004,169.199997,165.270004,169.100006,53569400,166.563705
"335",175.229996,177.75,173.800003,176.570007,66539400,173.921677
"336",175.880005,177.5,174.440002,176.889999,34068200,174.236862
"337",178.25,184.25,178.169998,183.830002,56201300,181.072769
"338",185.179993,187.669998,184.75,185.160004,42451400,182.382813
"339",184.990005,186.220001,183.669998,186.050003,28402800,183.259476
"340",186.550003,187.399994,185.220001,187.360001,23211200,184.549835
"341",187.740005,190.369995,187.649994,190.039993,27989300,187.189621
"342",189.490005,190.059998,187.449997,188.589996,26212200,186.477692
"343",189.009995,189.529999,187.860001,188.149994,20778800,186.042618
"344",186.779999,187.070007,185.100006,186.440002,23695200,184.351776
"345",186.070007,188.460007,186,188.179993,19183100,186.072266
"346",188,188.910004,186.360001,186.990005,17294000,184.895615
"347",187.190002,187.809998,186.130005,186.309998,18297700,184.223236
"348",188,189.270004,186.910004,187.630005,18400800,185.528442
"349",188.380005,188.880005,186.779999,187.160004,15240700,185.063721
"350",186.350006,188.5,185.759995,188.360001,20058400,186.250259
"351",188.770004,188.839996,186.210007,188.149994,23234000,186.042618
"352",188.229996,189.649994,187.649994,188.580002,17461000,186.467804
"353",187.600006,188.75,186.869995,187.899994,22514100,185.795425
"354",187.720001,188,186.779999,187.5,18690500,185.399887
"355",187.220001,188.229996,186.139999,186.869995,27482800,184.776947
"356",187.990005,190.259995,187.75,190.240005,23442500,188.109222
"357",191.639999,193.419998,191.350006,191.830002,26266200,189.681396
"358",193.070007,193.940002,192.360001,193.309998,21566000,191.144821
"359",193.630005,194.080002,191.919998,193.979996,20933600,191.807312
"360",194.139999,194.199997,192.339996,193.460007,21347200,191.293152
"361",191.169998,192,189.770004,191.699997,26656800,189.552856
"362",191.350006,191.970001,190.210007,191.229996,18308500,189.088135
"363",191.389999,192.610001,191.149994,192.279999,16911100,190.126358
"364",192.419998,192.880005,190.440002,190.699997,21638400,188.564056
"365",191.550003,191.570007,190.220001,190.800003,21610100,188.662933
"366",190.029999,190.160004,188.259995,188.839996,61719200,186.724884
"367",187.880005,189.220001,187.199997,188.740005,18484900,186.626022
"368",185.139999,186.330002,183.449997,185.690002,33578500,183.610168
"369",186.350006,187.199997,185.729996,186.5,20628700,184.411102
"370",187.25,188.350006,184.940002,185.460007,25711900,183.382751
"371",186.119995,186.149994,184.699997,184.919998,27200400,182.848785
"372",183.399994,184.919998,180.729996,182.169998,31663100,180.129608
"373",182.990005,186.529999,182.539993,184.429993,24569200,182.364288
"374",185.229996,187.279999,184.029999,184.160004,25285300,182.097321
"375",184.100006,186.210007,183.800003,185.5,17365200,183.422302
"376",186.289993,187.190002,182.910004,185.110001,22737700,183.036682
"377",183.820007,187.300003,183.419998,187.179993,17731300,185.083466
"378",187.789993,187.949997,183.539993,183.919998,13954800,181.859985
"379",185.259995,186.410004,184.279999,185.399994,16604200,183.32341
